country,country_code_2_digit,country_code_3_digit,population,reported_date,hospital_occupancy_count,icu_occupancy_count,source
Italy,IT,ITA,60359546,2020-10-21T00:00:00.0000000,9983,926,Country_Github
Latvia,LV,LVA,1919968,2020-10-21T00:00:00.0000000,79,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-21T00:00:00.0000000,69,8,Country_Website
Netherlands,NL,NLD,17282163,2020-10-21T00:00:00.0000000,,493,Other Website
Norway,NO,NOR,5328212,2020-10-21T00:00:00.0000000,36,,Country_API
Poland,PL,POL,37972812,2020-10-21T00:00:00.0000000,9439,,Country_Website
Portugal,PT,PRT,10276617,2020-10-21T00:00:00.0000000,1272,187,Country_Website
Romania,RO,ROU,19414458,2020-10-21T00:00:00.0000000,,766,Country_Website
Slovakia,SK,SVK,5450421,2020-10-21T00:00:00.0000000,844,,JRC
Slovenia,SI,SVN,2080908,2020-10-21T00:00:00.0000000,333,55,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-21T00:00:00.0000000,7762,,Country_Website
Austria,AT,AUT,8858775,2020-10-20T00:00:00.0000000,889,145,Country_Website
Belgium,BE,BEL,11455519,2020-10-20T00:00:00.0000000,2969,486,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-20T00:00:00.0000000,1562,88,External_Github
Croatia,HR,HRV,4076246,2020-10-20T00:00:00.0000000,574,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-20T00:00:00.0000000,4417,657,Country_Website
Denmark,DK,DNK,5806081,2020-10-20T00:00:00.0000000,128,15,Country_Website
Estonia,EE,EST,1324820,2020-10-20T00:00:00.0000000,28,3,Country_API
France,FR,FRA,67012883,2020-10-20T00:00:00.0000000,12435,2168,Country_Website
Hungary,HU,HUN,9772756,2020-10-20T00:00:00.0000000,1960,197,JRC
Ireland,IE,IRL,4904240,2020-10-20T00:00:00.0000000,315,34,Country_Website
Italy,IT,ITA,60359546,2020-10-20T00:00:00.0000000,9324,870,Country_Github
Latvia,LV,LVA,1919968,2020-10-20T00:00:00.0000000,83,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-20T00:00:00.0000000,68,8,Country_Website
Netherlands,NL,NLD,17282163,2020-10-20T00:00:00.0000000,,476,Other Website
Norway,NO,NOR,5328212,2020-10-20T00:00:00.0000000,29,,Country_API
Poland,PL,POL,37972812,2020-10-20T00:00:00.0000000,8962,,Country_Website
Portugal,PT,PRT,10276617,2020-10-20T00:00:00.0000000,1237,176,Country_Website
Romania,RO,ROU,19414458,2020-10-20T00:00:00.0000000,,768,Country_Website
Slovakia,SK,SVK,5450421,2020-10-20T00:00:00.0000000,724,,JRC
Slovenia,SI,SVN,2080908,2020-10-20T00:00:00.0000000,313,55,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-20T00:00:00.0000000,7501,,Country_Website
Austria,AT,AUT,8858775,2020-10-19T00:00:00.0000000,799,145,Country_Website
Belgium,BE,BEL,11455519,2020-10-19T00:00:00.0000000,2773,446,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-19T00:00:00.0000000,1500,74,External_Github
Croatia,HR,HRV,4076246,2020-10-19T00:00:00.0000000,571,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-19T00:00:00.0000000,4064,634,Country_Website
Denmark,DK,DNK,5806081,2020-10-19T00:00:00.0000000,129,18,Country_Website
Estonia,EE,EST,1324820,2020-10-19T00:00:00.0000000,29,2,Country_API
Finland,FI,FIN,5517919,2020-10-19T00:00:00.0000000,62,7,External_Github
France,FR,FRA,67012883,2020-10-19T00:00:00.0000000,11640,2090,Country_Website
Hungary,HU,HUN,9772756,2020-10-19T00:00:00.0000000,1896,188,JRC
Ireland,IE,IRL,4904240,2020-10-19T00:00:00.0000000,298,32,Country_Website
Italy,IT,ITA,60359546,2020-10-19T00:00:00.0000000,8473,797,Country_Github
Latvia,LV,LVA,1919968,2020-10-19T00:00:00.0000000,80,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-19T00:00:00.0000000,61,5,Country_Website
Netherlands,NL,NLD,17282163,2020-10-19T00:00:00.0000000,,448,Other Website
Norway,NO,NOR,5328212,2020-10-19T00:00:00.0000000,28,,Country_API
Poland,PL,POL,37972812,2020-10-19T00:00:00.0000000,8375,,Country_Website
Portugal,PT,PRT,10276617,2020-10-19T00:00:00.0000000,1174,165,Country_Website
Romania,RO,ROU,19414458,2020-10-19T00:00:00.0000000,,757,Country_Website
Slovakia,SK,SVK,5450421,2020-10-19T00:00:00.0000000,638,,JRC
Slovenia,SI,SVN,2080908,2020-10-19T00:00:00.0000000,291,56,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-19T00:00:00.0000000,6991,,Country_Website
Austria,AT,AUT,8858775,2020-10-18T00:00:00.0000000,742,135,Country_Website
Belgium,BE,BEL,11455519,2020-10-18T00:00:00.0000000,2497,412,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-18T00:00:00.0000000,1484,79,External_Github
Croatia,HR,HRV,4076246,2020-10-18T00:00:00.0000000,548,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-18T00:00:00.0000000,3721,589,Country_Website
Denmark,DK,DNK,5806081,2020-10-18T00:00:00.0000000,119,17,Country_Website
Estonia,EE,EST,1324820,2020-10-18T00:00:00.0000000,35,3,Country_API
France,FR,FRA,67012883,2020-10-18T00:00:00.0000000,10897,1939,Country_Website
Hungary,HU,HUN,9772756,2020-10-18T00:00:00.0000000,1712,179,JRC
Ireland,IE,IRL,4904240,2020-10-18T00:00:00.0000000,274,31,Country_Website
Italy,IT,ITA,60359546,2020-10-18T00:00:00.0000000,7881,750,Country_Github
Latvia,LV,LVA,1919968,2020-10-18T00:00:00.0000000,72,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-18T00:00:00.0000000,57,4,Country_Website
Netherlands,NL,NLD,17282163,2020-10-18T00:00:00.0000000,,409,Other Website
Poland,PL,POL,37972812,2020-10-18T00:00:00.0000000,8076,,Country_Website
Portugal,PT,PRT,10276617,2020-10-18T00:00:00.0000000,1086,155,Country_Website
Romania,RO,ROU,19414458,2020-10-18T00:00:00.0000000,,749,Country_Website
Slovakia,SK,SVK,5450421,2020-10-18T00:00:00.0000000,633,,JRC
Slovenia,SI,SVN,2080908,2020-10-18T00:00:00.0000000,265,49,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-18T00:00:00.0000000,6516,,Country_Website
Austria,AT,AUT,8858775,2020-10-17T00:00:00.0000000,724,130,Country_Website
Belgium,BE,BEL,11455519,2020-10-17T00:00:00.0000000,2267,384,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-17T00:00:00.0000000,1450,76,External_Github
Croatia,HR,HRV,4076246,2020-10-17T00:00:00.0000000,530,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-17T00:00:00.0000000,3519,587,Country_Website
Denmark,DK,DNK,5806081,2020-10-17T00:00:00.0000000,110,16,Country_Website
Estonia,EE,EST,1324820,2020-10-17T00:00:00.0000000,32,3,Country_API
France,FR,FRA,67012883,2020-10-17T00:00:00.0000000,10399,1868,Country_Website
Hungary,HU,HUN,9772756,2020-10-17T00:00:00.0000000,1693,185,JRC
